attendance_rate,previous_grade,hours_study,final_grade
92,85,7,88
88,80,6,84
75,70,4,72
60,65,3,68
95,90,8,92
82,78,5,80
70,72,4,74
98,88,9,93
55,60,2,62
65,68,3,66
90,82,6,86
85,75,5,82
72,70,4,73
50,55,2,58
78,73,5,77
96,92,8,95
68,65,3,69
74,72,4,75
88,85,6,87
92,88,7,90
61,58,3,60
83,77,5,81
97,90,9,94
57,62,2,63
69,71,3,72
80,79,5,79
89,84,6,85
91,86,7,89
76,74,4,76
63,66,3,64
94,92,8,93
59,61,2,62
67,69,3,70
73,75,4,74
87,83,6,86
99,95,9,97
53,56,2,57
71,73,4,72
84,79,5,82
93,89,7,91
66,68,3,67
79,74,5,78
90,85,6,87
52,58,2,59
82,80,5,81
75,70,4,73
97,94,8,96
64,67,3,65
